"";"CTL.1";"CTL.2";"CTL.3";"CTL.4";"PD1.1";"PD1.2";"PD1.3";"PD1.4";"CMP.1";"CMP.3";"CMP.4"
"TC0500002785.mm.2";3,33362569111498;2,53811109374134;2,94952575205902;2,57267619802108;2,38164378412196;2,85785455016354;2,77744688315804;3,69861129068274;3,1748159546989;2,82273248857192;3,04668296852215
"TC1000001957.mm.2";8,1485252842838;8,20826960759635;8,18463669711941;8,29001563591997;8,1015647638053;8,27085095753385;8,62216634465358;8,39297218024784;8,11378982436684;8,37079489965483;8,18886530480946
"TC0500000914.mm.2";3,06455828219656;3,07544853101756;3,28396110523486;2,80254514417607;3,0059838956034;3,0059838956034;2,43636986223396;2,88809576202958;3,94308750174292;2,87931739850732;2,90208624260718
"TC1400002791.mm.2";4,31695054391652;4,44907170349049;4,41349812703359;4,4179654745629;4,56243873507609;4,28496501942074;4,37167042250562;3,69540247001829;4,05015096306166;3,38071150676367;3,84375364997893
"TC0Y00000091.mm.2";2,27116349864449;2,27584590816874;2,37146838864266;2,39853056282317;2,16801034774861;1,95249495273171;2,83537072104335;2,10870264057181;2,03875142517478;1,87443119357558;2,43090914224098
"TC1100002194.mm.2";2,53698369791563;2,1204013467021;2,20212315110726;2,51390288970824;2,6509458951841;1,80769461279537;2,69647586230803;1,93905022472613;2,16992529321308;1,87766114460292;1,91615503056537
"TC1000000770.mm.2";4,55488964006659;4,86156155027117;4,59245875523925;4,45970677777718;5,47048273225045;5,2741990724763;5,32303081749374;4,79757084600673;5,85876629939909;4,08137065511505;5,83368503095129
"TC1700002767.mm.2";3,56160494209847;3,12333794383668;3,12653121858985;3,77252900659255;3,85875080393498;3,6068588395031;3,39410881524162;3,19265334872656;4,08097021847267;3,1673109134495;3,66643081290337
"TC0400001869.mm.2";5,30977189529359;5,2930944091457;5,51196839932219;5,13434051722379;5,4239460211094;5,36959536304079;5,29953904460314;5,2589670167745;5,38134724722431;5,14812300638085;5,19484513477157
"TC1100003720.mm.2";2,84157261025309;2,92756891434331;3,41004403677481;3,13000800988281;3,27353095991436;2,90600814937562;3,74336235941493;3,29837039995379;3,55433978034756;3,0565701394004;3,1677200889123
"TC0400004202.mm.2";2,3414994551651;2,3414994551651;2,03974594764122;2,16527114588303;2,50522191050302;2,44587556234235;2,42928746939064;2,22862661310144;3,06090291961962;2,08075654001786;2,60331004108793
"TC0500001775.mm.2";2,30598453752845;1,90017817877722;2,27020147784874;1,70228899431636;2,01290969341803;2,01313050901553;1,9891579443558;1,51967644298805;1,94989316826461;2,07493349205596;1,52297289741844
"TC0300000062.mm.2";5,40765698350844;5,56312445091633;5,34113481139353;5,44980105241536;5,16367580162512;5,56340462996582;5,45056392043975;5,57983658240432;5,29858485513705;5,11749474943511;5,2373288508388
"TC1100003721.mm.2";4,59814757140985;3,52384251083074;4,62805891202897;4,56716051600946;4,5470787432529;4,61226481522156;4,74909408186161;4,72132679259246;5,10247453191167;4,64126342760942;4,81183424965649
"TC1400002856.mm.2";3,39353837319222;3,05443826840646;2,91694619790799;2,77503497652037;2,87634851244876;3,54820461058327;3,00085557179685;2,89729673839955;2,9603437930334;3,41383944731535;2,96814434896829
"TC1500001730.mm.2";8,0574625703726;9,01991175088354;8,86098304366387;8,08847712097345;9,21827984821209;9,353626058995;9,02400231402179;8,95906033523667;9,92513574950916;10,4313118783877;9,30111952719276
"TC0500003719.mm.2";2,89862043556962;2,46450056329022;3,4572664387744;2,86443932561549;2,35692143097396;2,07962181915999;3,23277936248337;3,02004489920061;3,16157241867709;2,59626683706613;2,56031054583591
